,occ1990dd,task_abstract,task_routine,task_manual
278,727,0.577501535416,5.2533659935,2.3613846302
279,729,0.63722640276,5.01572704315,1.27198076248
280,733,0.894081830978,5.35792398453,1.02786231041
281,734,1.43728196621,6.90413427353,0.624696195126
282,736,1.34420704842,7.50613689423,0.573171973228
283,738,0.168573409319,5.33694076538,1.08825457096
284,739,0.107836037874,7.42559671402,0.54352581501
285,743,0.7557939291,5.7117099762,1.06114661694
286,744,0.453586399555,7.86354637146,3.28641724586
287,745,0.424907296896,5.95088863373,2.13170576096
288,747,0.0709132328629,2.32837295532,1.7295820713
289,749,0.463844150305,5.36113357544,0.799789130688
290,753,0.86139023304,5.11360549927,0.985673666
291,754,0.365301758051,3.66816878319,1.17817807198
292,755,0.821857869625,4.98326730728,0.963519215584
293,756,0.692268311977,5.78661632538,0.594479978085
294,757,0.870853066444,5.17690944672,1.14153718948
295,763,1.19118785858,6.47674322128,0.291459441185
296,764,0.819841206074,4.88663291931,0.960422277451
297,765,0.86139023304,5.11360549927,0.985673666
298,766,1.92683899403,5.75252866745,1.33824050426
299,769,0.731951534748,5.56157493591,1.0194439888
300,774,1.0510263443,6.73083782196,0.348211586475
301,779,1.15526151657,6.11128234863,1.88768494129
302,783,2.04075312614,7.08515167236,0.643265962601
303,785,0.591802477837,5.80393600464,0.57462656498
304,789,2.5577044487,7.11763286591,3.06212329865
305,799,1.39159965515,6.26806783676,0.642747282982
306,803,6.71271514893,3.65560221672,0.856420397758
307,804,0.74686986208,1.99578046799,4.65605783463
308,808,1.03585124016,1.28310012817,4.95009374619
309,809,0.972236573696,1.38482153416,4.83608341217
310,813,0.0,1.25,5.0
311,823,6.12400007248,2.79668211937,3.7107656002
312,824,3.90168762207,1.97765636444,2.75527501106
313,825,0.985905587673,2.02825427055,3.4687628746
314,829,3.29129171371,4.22648429871,4.72367286682
315,834,0.476517945528,1.18634068966,2.43474602699
316,844,0.808034539223,6.71842908859,4.90241670609
317,848,0.20675522089,5.72207403183,3.96558260918
318,853,0.833777487278,6.562748909,4.77828598022
319,859,1.4877576828,3.51822042465,2.21138453484
320,865,0.878649771214,2.92438411713,1.19028139114
321,866,1.06879866123,5.08264827728,2.51417613029
322,869,0.990052521229,4.89658355713,2.54307150841
323,873,0.653289020061,4.76844406128,0.818827807903
324,875,0.0415591001511,1.25,2.87197637558
325,878,0.346989899874,3.4050924778,1.544074893
326,885,0.944016695023,1.59410405159,0.190924406052
327,887,0.321252763271,2.16296625137,0.657405853271
328,888,0.143376976252,2.77277040482,0.568135797977
329,889,0.76326084137,2.49334287643,1.44905984402
